Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Argentina,18,3.0,68,49,48,17,3,16,72,22.2,56,646,199,30.8,335,248,63,54,8,0,46,34,102,110,0
Australia,18,4.3,74,44,30,33,11,21,90,23.3,69,607,198,32.6,164,275,168,56,15,0,41,44,118,105,0
Brazil,18,4.3,95,53,44,46,5,26,84,31.0,58,587,177,30.2,212,285,90,74,11,0,63,41,136,113,1
Cameroon,20,4.0,98,63,59,28,11,40,95,42.1,55,783,208,26.6,289,381,113,55,9,0,46,48,146,139,1
Canada,16,4.0,105,64,34,53,18,34,71,47.9,37,545,195,35.8,156,275,114,62,4,0,58,25,130,75,1
Chile,18,3.0,60,37,35,19,6,19,72,26.4,53,599,135,22.5,264,245,90,54,11,0,43,35,95,77,2
China PR,17,4.0,91,55,46,37,8,26,93,28.0,67,653,197,30.2,232,256,165,85,16,0,69,41,132,190,0
England,22,7.0,137,88,60,53,24,27,100,27.0,73,1072,316,29.5,315,503,254,107,11,1,96,44,181,152,3
France,17,5.3,100,60,40,39,21,31,89,34.8,58,693,256,36.9,140,327,226,79,10,1,69,45,145,94,0
Germany,19,5.0,125,80,59,45,21,61,116,52.6,55,710,265,37.3,195,337,178,75,18,0,57,47,172,143,1
Italy,17,5.0,126,79,67,42,17,34,106,32.1,72,838,248,29.6,343,350,145,87,22,0,65,43,169,135,0
Jamaica,20,3.0,68,48,29,29,10,22,56,39.3,34,515,157,30.5,189,220,106,50,7,0,43,31,99,91,2
Japan,17,4.0,85,43,34,41,10,25,69,36.2,44,674,184,27.3,178,307,189,81,17,0,64,38,123,109,0
Korea Rep,19,3.0,47,29,26,16,5,20,64,31.3,44,478,139,29.1,190,190,98,38,10,0,28,19,66,84,0
Netherlands,16,7.3,204,122,102,85,17,69,174,39.7,105,1180,388,32.9,341,573,266,133,18,1,115,77,281,174,1
New Zealand,17,3.0,68,44,45,20,3,15,71,21.1,56,490,117,23.9,213,213,64,55,15,1,40,20,88,107,0
Nigeria,20,4.0,106,68,69,29,8,32,96,33.3,64,585,160,27.4,268,219,98,64,16,0,48,40,146,104,2
Norway,17,5.3,102,58,59,33,10,29,89,32.6,60,737,199,27.0,257,294,186,104,24,0,80,54,156,189,0
Scotland,19,3.0,64,38,33,17,14,17,60,28.3,43,447,112,25.1,148,182,117,39,8,1,31,23,87,61,1
South Africa,19,3.0,62,35,40,16,6,21,79,26.6,58,559,148,26.5,247,250,62,55,18,1,37,30,92,139,1
Spain,19,4.0,81,60,30,35,16,28,78,35.9,50,628,227,36.1,161,284,183,53,6,0,47,28,109,87,0
Sweden,20,7.3,130,85,44,63,23,30,95,31.6,65,1151,329,28.6,323,514,314,127,23,2,104,58,188,167,0
Thailand,18,3.0,83,43,64,16,3,28,90,31.1,62,460,81,17.6,305,131,24,51,18,1,33,47,130,134,1
USA,21,7.0,136,87,67,50,19,41,115,35.7,74,873,321,36.8,245,372,256,92,17,0,75,52,188,183,1
