Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Argentina,18,3.0,586,906,64.7,10407,5388,311,382,81.4,183,270,67.8,77,201,38.3,1,0.8,+0.2,11,35,5,0,53
Australia,18,4.3,1912,2398,79.7,38670,14132,653,764,85.5,970,1132,85.7,274,427,64.2,4,3.8,+0.2,41,162,58,24,198
Brazil,18,4.3,1372,1798,76.3,25599,10162,585,694,84.3,583,689,84.6,178,341,52.2,3,3.2,-0.2,31,93,21,6,124
Cameroon,20,4.0,732,1242,58.9,13894,7532,344,442,77.8,258,390,66.2,117,342,34.2,3,3.1,-0.1,28,70,16,3,97
Canada,16,4.0,1809,2303,78.5,34731,12625,716,846,84.6,855,979,87.3,223,417,53.5,3,3.8,-0.8,45,158,36,9,200
Chile,18,3.0,798,1096,72.8,16213,6988,312,387,80.6,357,427,83.6,122,254,48.0,1,1.2,-0.2,24,66,18,8,94
China PR,17,4.0,1216,1746,69.6,22975,10744,551,673,81.9,450,617,72.9,187,380,49.2,1,2.3,-1.3,35,114,43,12,176
England,22,7.0,3159,3956,79.9,60909,21499,1253,1458,85.9,1474,1719,85.7,404,672,60.1,12,9.7,+2.3,69,224,68,14,304
France,17,5.3,2025,2587,78.3,40221,15005,812,938,86.6,865,1017,85.1,318,517,61.5,8,5.2,+2.8,61,194,47,20,215
Germany,19,5.0,1882,2475,76.0,37399,14229,719,854,84.2,846,1006,84.1,281,519,54.1,4,6.2,-2.2,56,142,43,10,185
Italy,17,5.0,1267,1833,69.1,26415,11284,448,551,81.3,590,778,75.8,216,442,48.9,6,3.4,+2.6,36,86,25,7,128
Jamaica,20,3.0,611,940,65.0,12334,5581,244,312,78.2,269,358,75.1,94,231,40.7,1,1.6,-0.6,21,48,17,6,74
Japan,17,4.0,1871,2265,82.6,34298,11642,771,881,87.5,899,1007,89.3,184,302,60.9,2,3.3,-1.3,39,162,35,5,209
Korea Rep,19,3.0,1077,1361,79.1,20643,7577,435,495,87.9,492,561,87.7,141,270,52.2,1,2.2,-1.2,29,95,27,5,120
Netherlands,16,7.3,2987,3857,77.4,60148,21221,1123,1314,85.5,1341,1591,84.3,477,824,57.9,7,5.1,+1.9,59,251,68,17,306
New Zealand,17,3.0,702,1095,64.1,13963,6830,301,396,76.0,271,361,75.1,117,293,39.9,0,1.3,-1.3,13,58,18,8,72
Nigeria,20,4.0,686,1118,61.4,15235,6778,213,286,74.5,311,421,73.9,154,365,42.2,1,1.8,-0.8,23,56,16,3,60
Norway,17,5.3,1744,2314,75.4,32674,13090,679,812,83.6,860,1025,83.9,188,391,48.1,3,4.3,-1.3,48,113,34,6,192
Scotland,19,3.0,1002,1305,76.8,19547,7432,427,502,85.1,423,500,84.6,145,259,56.0,3,1.8,+1.2,19,66,13,2,76
South Africa,19,3.0,706,1068,66.1,14063,5227,270,344,78.5,317,401,79.1,112,276,40.6,1,1.1,-0.1,12,34,4,0,39
Spain,19,4.0,1659,2166,76.6,32684,12060,677,799,84.7,689,839,82.1,264,462,57.1,2,3.6,-1.6,48,165,53,15,181
Sweden,20,7.3,2382,3220,74.0,47196,18867,886,1084,81.7,1138,1364,83.4,331,665,49.8,7,6.3,+0.7,67,235,60,15,309
Thailand,18,3.0,509,827,61.5,10246,4816,216,269,80.3,190,278,68.3,96,245,39.2,1,0.7,+0.3,11,23,5,2,35
USA,21,7.0,2724,3518,77.4,55382,19590,997,1190,83.8,1284,1514,84.8,415,719,57.7,17,11.0,+6.0,96,262,73,19,304
