Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Argentina,18,3.0,2,17,5,29.4,5.67,1.67,0.06,0.20,25.1,1,1,1,1.8,1.1,0.07,+0.2,-0.1
Australia,18,4.3,8,53,20,37.7,12.23,4.62,0.15,0.40,15.1,1,0,1,6.6,5.7,0.11,+1.4,+2.3
Brazil,18,4.3,7,48,15,31.3,11.08,3.46,0.10,0.33,19.0,4,2,3,6.5,4.2,0.09,+0.5,+0.8
Cameroon,20,4.0,3,43,11,25.6,10.75,2.75,0.07,0.27,21.2,0,0,0,4.2,4.2,0.10,-1.2,-1.2
Canada,16,4.0,4,60,12,20.0,15.00,3.00,0.07,0.33,17.9,4,0,1,6.2,5.5,0.10,-2.2,-1.5
Chile,18,3.0,1,33,6,18.2,11.00,2.00,0.03,0.17,21.5,1,0,1,2.5,1.9,0.06,-1.5,-0.9
China PR,17,4.0,1,40,9,22.5,10.00,2.25,0.03,0.11,17.3,0,0,0,2.6,2.6,0.07,-1.6,-1.6
England,22,7.0,13,85,31,36.5,12.14,4.43,0.14,0.39,17.7,1,1,4,13.6,10.6,0.12,-0.6,+1.4
France,17,5.3,10,89,24,27.0,16.69,4.50,0.09,0.33,16.9,0,2,2,7.8,6.3,0.07,+2.2,+1.7
Germany,19,5.0,10,76,32,42.1,15.20,6.40,0.12,0.28,16.3,3,1,1,10.2,9.4,0.13,-0.2,-0.4
Italy,17,5.0,9,52,19,36.5,10.40,3.80,0.15,0.42,19.3,1,1,1,6.4,5.6,0.11,+2.6,+2.4
Jamaica,20,3.0,1,30,7,23.3,10.00,2.33,0.03,0.14,20.0,2,0,0,1.8,1.8,0.06,-0.8,-0.8
Japan,17,4.0,3,53,15,28.3,13.25,3.75,0.04,0.13,18.5,1,1,1,5.0,4.2,0.08,-2.0,-2.2
Korea Rep,19,3.0,1,44,13,29.5,14.67,4.33,0.02,0.08,18.7,2,0,0,3.1,3.1,0.07,-2.1,-2.1
Netherlands,16,7.3,11,85,27,31.8,11.59,3.68,0.12,0.37,17.7,4,1,1,9.6,9.1,0.11,+1.4,+0.9
New Zealand,17,3.0,0,17,5,29.4,5.67,1.67,0.00,0.00,16.0,0,0,0,1.4,1.4,0.08,-1.4,-1.4
Nigeria,20,4.0,1,32,6,18.8,8.00,1.50,0.03,0.17,18.6,1,0,0,2.1,2.1,0.07,-1.1,-1.1
Norway,17,5.3,5,60,18,30.0,11.25,3.38,0.05,0.17,18.4,4,2,2,6.4,4.9,0.08,-1.4,-1.9
Scotland,19,3.0,5,32,13,40.6,10.67,4.33,0.16,0.38,16.8,0,0,0,3.0,3.0,0.10,+2.0,+2.0
South Africa,19,3.0,1,17,4,23.5,5.67,1.33,0.06,0.25,23.5,1,0,0,1.2,1.2,0.07,-0.2,-0.2
Spain,19,4.0,4,72,21,29.2,18.00,5.25,0.03,0.10,18.8,3,2,2,6.6,5.1,0.07,-2.6,-3.1
Sweden,20,7.3,12,104,38,36.5,14.18,5.18,0.11,0.29,15.3,1,1,1,10.9,10.1,0.10,+1.1,+0.9
Thailand,18,3.0,1,13,7,53.8,4.33,2.33,0.08,0.14,20.5,0,0,0,0.7,0.7,0.05,+0.3,+0.3
USA,21,7.0,25,126,51,40.5,18.00,7.29,0.17,0.43,15.1,1,3,4,16.6,13.6,0.11,+8.4,+8.4
