Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Argentina,18,26.8,34.7,3,33,270,3.0,2,1,1,1,1,3,0,0.67,0.33,1.00,0.33,0.67,1.8,1.1,0.8,1.9,0.61,0.26,0.88,0.36,0.62
Australia,18,25.4,61.3,4,44,390,4.3,8,4,8,0,1,2,0,1.85,0.92,2.77,1.85,2.77,6.6,5.7,3.8,9.5,1.53,0.87,2.40,1.32,2.19
Brazil,18,29.7,51.5,4,44,390,4.3,7,3,5,2,3,7,0,1.62,0.69,2.31,1.15,1.85,6.5,4.2,3.2,7.4,1.49,0.74,2.24,0.97,1.71
Cameroon,20,27.7,36.0,4,44,360,4.0,3,3,3,0,0,6,0,0.75,0.75,1.50,0.75,1.50,4.2,4.2,3.1,7.2,1.04,0.77,1.81,1.04,1.81
Canada,16,27.0,63.0,4,44,360,4.0,4,3,4,0,1,2,0,1.00,0.75,1.75,1.00,1.75,6.2,5.5,3.8,9.2,1.55,0.94,2.49,1.36,2.31
Chile,18,26.8,42.0,3,33,270,3.0,1,1,1,0,1,5,0,0.33,0.33,0.67,0.33,0.67,2.5,1.9,1.2,3.1,0.82,0.41,1.23,0.63,1.03
China PR,17,26.6,47.0,4,44,360,4.0,1,1,1,0,0,5,0,0.25,0.25,0.50,0.25,0.50,2.6,2.6,2.3,4.8,0.64,0.57,1.21,0.64,1.21
England,22,27.8,60.4,7,77,630,7.0,13,12,12,1,4,1,1,1.86,1.71,3.57,1.71,3.43,13.6,10.6,9.7,20.3,1.94,1.39,3.33,1.51,2.90
France,17,27.8,58.8,5,55,480,5.3,10,8,8,2,2,2,0,1.87,1.50,3.38,1.50,3.00,7.8,6.3,5.2,11.5,1.46,0.98,2.44,1.18,2.16
Germany,19,25.5,57.2,5,55,450,5.0,10,4,9,1,1,2,0,2.00,0.80,2.80,1.80,2.60,10.2,9.4,6.2,15.6,2.03,1.23,3.27,1.88,3.11
Italy,17,26.5,43.4,5,55,450,5.0,9,6,8,1,1,4,0,1.80,1.20,3.00,1.60,2.80,6.4,5.6,3.4,9.0,1.28,0.68,1.96,1.13,1.81
Jamaica,20,22.9,36.7,3,33,270,3.0,1,1,1,0,0,4,0,0.33,0.33,0.67,0.33,0.67,1.8,1.8,1.6,3.4,0.60,0.52,1.12,0.60,1.12
Japan,17,24.8,53.8,4,44,360,4.0,3,2,2,1,1,4,0,0.75,0.50,1.25,0.50,1.00,5.0,4.2,3.3,7.5,1.24,0.83,2.07,1.05,1.88
Korea Rep,19,26.9,52.0,3,33,270,3.0,1,1,1,0,0,4,0,0.33,0.33,0.67,0.33,0.67,3.1,3.1,2.2,5.2,1.03,0.72,1.75,1.03,1.75
Netherlands,16,26.1,57.1,7,77,660,7.3,11,7,10,1,1,0,0,1.50,0.95,2.45,1.36,2.32,9.6,9.1,5.1,14.2,1.31,0.70,2.01,1.24,1.93
New Zealand,17,27.6,39.3,3,33,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,1.3,2.7,0.48,0.43,0.91,0.48,0.91
Nigeria,20,25.7,34.8,4,44,360,4.0,1,1,1,0,0,6,1,0.25,0.25,0.50,0.25,0.50,2.1,2.1,1.8,3.9,0.53,0.45,0.98,0.53,0.98
Norway,17,26.8,50.2,5,55,480,5.3,5,3,3,2,2,1,0,0.94,0.56,1.50,0.56,1.13,6.4,4.9,4.3,9.2,1.20,0.80,2.00,0.92,1.72
Scotland,19,26.4,47.0,3,33,270,3.0,5,3,5,0,0,6,0,1.67,1.00,2.67,1.67,2.67,3.0,3.0,1.8,4.8,1.00,0.60,1.60,1.00,1.60
South Africa,19,27.5,38.0,3,33,270,3.0,1,1,1,0,0,7,1,0.33,0.33,0.67,0.33,0.67,1.2,1.2,1.1,2.3,0.41,0.35,0.77,0.41,0.77
Spain,19,25.2,62.5,4,44,360,4.0,4,2,2,2,2,1,0,1.00,0.50,1.50,0.50,1.00,6.6,5.1,3.6,8.6,1.64,0.89,2.53,1.26,2.16
Sweden,20,28.5,48.4,7,77,660,7.3,12,7,11,1,1,2,0,1.64,0.95,2.59,1.50,2.45,10.9,10.1,6.3,16.4,1.48,0.86,2.34,1.38,2.24
Thailand,18,27.8,30.0,3,33,270,3.0,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,0.7,0.7,0.7,1.4,0.23,0.23,0.46,0.23,0.46
USA,21,28.8,56.0,7,77,630,7.0,25,17,22,3,4,0,0,3.57,2.43,6.00,3.14,5.57,16.6,13.6,11.0,24.5,2.37,1.57,3.94,1.94,3.51
